cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41
185,"I

E

I
f
E","Ee ie e iees
daa",Ohio,"E
E
 

II","EH

E

II",LIE IIECI1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Iermee,larmee,Armnund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,parc du chteau,cap du Chat,AU CHATEAU,chatean,hate,ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Remerciez,Inerci,Merci,Commercy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,UN NI L.,"II

l","I


L","II




 L","CI

l
M
OR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,natuure,heure-:t-e,CI1,L1y,Heure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,profitera-t-il7,hesiter,vitel,svit,6viter.-,N-,serviteuen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Moi7,amoins,moi7,moil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,A60,LE6A L,"xEZIE

l
EAU","El

l
E",MRS,"A L
T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,"Ci

z=","E

 N
 
I
 
r","G'

AH

I

Z",LLr- AH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Europe,delicatesse des Europeens,Europeens,lEuropeens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Petil-Fort,Vil-,IL-,Il-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,"II
LE OR","I
12I
L","IL


II
l",C018,"I
L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,avanl,auptravant,Gcagse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,la Riviere,ct de la riviere,"RIVIlEnE
A",Riviere,IVIERNE,IBBLLB HRIVIERE,"RIVIEnE
La",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,"r,:il",As,"II
filLe'
 D",trvaille,Eparpille,feuillee,lille,Veuillez,G¬,Jumonville,tamille,Eveille,ille,Suveille,batnillel,iille,,,,,,,,,,,,,,,,,,,,,,,,,,
201,efuse,audacieusemenl,meuse,gnereuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,".,-",grnd lrve,reserve,L.a,Observez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,rendez-vousl,savez-vous7,Oi voulez-vovs,Savez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,francais,Fancais,brancad,Francais,Irancais,lrancais,L1N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Sommes,Sommes-,la somme,comment7,Iemmes,Hommes,hommE-,hommesrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,douai,Hande,Douai-Hande,Douai,Douai-Hand6,loup-Hande,Douai-lande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,"I
I
-
1

I","asIE

I

T
I
I
IL
 SI","I
I
E","E

I
I
I
I1","I
I
I","II
I
I
I.
I.","I
I
IL
III","I
I
I
I
IL",".:F'

r
I
I","I
I
t'","I
I
I




i1
I
I
I

I","I
I
A","I'
t.
I
I
I
I
I
I","I
I
I
I","I
I
E.","I
I
I
.I",".:AI
i
I","I
I
t","I
I
I
I
I","I
I
Ma
 AH",,,,,,,,,,,,,,,,,,,,,,
208,.-------.-,L-----1,A---------.--.--ELLE,".-:---,C-",Y---,e----e,LAn------:-L,----L.',L----,.----es,L-----ra,y.,-----ecxxz,y---------,--------ah,or----,Iiiltie------ELle-,L.L----A-,e:----.--------,T----,.-----------,e:-----,"F-,----P--,-êtRe",i----,espère-et-err'`r---------------a----------------------,L:---,ŒiL--.-----.---a---.-----a-----=i-------------------------------------eau=il=-=je,.'---;--------c=.-,"P' ``,-
---- --
..:...----------:-
316
LA ELLIE","IVſ
i",--------.-,ai-------,ELLE-----se--------------------L.,i:::--.---------:------------:a,AInsi-'.5.C-2C:--::-----A----e-::=-a--,C----ii,c:----------------,----,"c-,r----c",je-------------,"E.:y,:P----rrre-ree",s------
209,Marcher,Marches armoricaines,Ee,Marches,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Ponce-Pilate,cpilaine,pilosoplie%,il’,Pilma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Achives,arrivonsl,Aives,arrives7,Arrives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,proscritl A,Procrit,Poscrit,Proscrit-,Proscrit,Pyoscrilten,Proscrit.-,Le Proscrit,lProscrit,L1IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Avait,Aigle-,L'Aigle,L'Aigle-Avait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,reconnalte,malte,alttira,Altendre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,rer,verai,jurerais,ignorais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,vouS Conaltre,samaltresse,"P
I",Conaltre,IL,Leona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,elrange,vengel,etranges,Ange,Angele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,"S
n.
I
 QU","I
i


S","I
I




 L.I

E","I
I

2","II

21I
I

.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,wampums,cap des Monts-Peles,baie des Marmousets,baie d'Hudson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,dnans,maintenant7,pintemps,Mluintenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,l1 cria,L2,ecria,Qu'6cria,Cria-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Aupres,Presque aussitot,Apres,pres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,cbte?1,coeu,gargon,coeu gonfl,Iagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,flt Ward,- Gueusard,Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Oih,couirs,Louisiane,Louisl,-1Louis,Louislt,Louis3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,"grIS

II",.en,Harison,Oui-Fine,OUI-GRIS,.T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,reunion de Manongohela,G,Manangahela,Manongahela,Mlanonghahela,Manongohela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Ients,Bientot,sauvagesl A bientt,Totem,C'0étaient,bientot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,m-autre.5---a-,aUtre-,Autre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Nouvelle-Fance,Nouvelle- francS'tait,Nouvelle-Orleans,Nouvelle-France,PoUvez,Nouvelle-Hollande,Nouvelle-lFrance,Nouvelle-Frnce,Nouvelle-Or6as,Nouveau-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,"1A
I.I","1I
I.I","zZ
E

I
x1I
I.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Tecits,Sije,Cecije,EeCi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,ganie,.l,aniti6,IANIEE,calomniee,diane,ilnie vix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Contrecoeu,Contre-,concentree,Montreal,Contreceur,Contrecur,CONTRECEUR,Contrecoeur,ceurl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Visages-Ples,visge,banchages,s-L,Visages-Les,Visages-Alors,nuaages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,l3elle-Olivier,.2-,Ilelle-RRiviere,IBelle Riviere,Belle-Rivire,lBelle-Riviere,Belle-Olivier,JE-riisiiaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,--z--,.A2,.-Z-,-Z-G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,IL L,- M',IL M',"c,-","E


IL

d
e",IL S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,.--,-7-.--,L.--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Canudienne,anne,Guyenne,Menneville,Vienne,Menne-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Alos,"I


-",tibus,Pesque,Losque,lLorsque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Lovelace,Pelage,celaf,celasans,elau,jela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,matiee,HR1VIEE,vieillacd,avie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,"II

I
I
I","II
III
 
 I
1I
'
1
I
I1","I
III 
I
III

l
 J","II

I
t
'
:i:
II
L.
E","II

I
II
M","S
 E

AH

I

I.
I
III 


SI
I
3
t
LA BELLE","E

I
II","III

I
I
IIHI",".l

II
IL

Y
I

 ET


III

i
I
2.A","II
E

I
III 

jE

jE

R

JE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,lulL rapidemonl,Jumon-,mone,IL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,trouves-,Iauves,Iauve,Ves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,r1l,"II

tu","II

T
L
I
IL","E
I'

 ET
E
II

T
L
I
IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,haron Armand,baron.etRs%,BAron1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,"rnn
L",luii,celui-ei,LUi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,lRegardez,Regardez,regardexz,regardexz vos sentinelles,regardez,egarde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,parc de la comtesse,eomte,comtesse de Maleval,comntesse de,comtesse de MIa-,Mee la comtesse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,IELLE,BIELLB AIV1EIE,BIELLE,ciell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Doussailles,taversee,Versailles,vers6s,Vesailles,de Versailles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,chevaux7 Cependant,Spndassin,pendunt,L-,Pendanl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Rendez,B,Huml,C1.-,surprende,.:Z,SURPR1SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,teni,i arrete,etendus,srete,conteni,entreteni,reteni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,BBLLE,BBLLE R1ELLE,"BLLLE R1YIE
landier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,".2-
-
 
2


E","loirs7
- J'","¬- 
 -
.s","I
- 
 
 
-,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,RIYILEnRE,RIYIhE,ILA BELLI RIYILRE,RIYIEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,"WIIIIII
III 
L",IIIIIIIIIIIIIII,Eetiiiee,"IIIIIl
II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Andre,gand air,Amand,Ande,unsgrand,Andel,gand,Grand,Qand,guand,Armnand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,litieie,eeoieie,aeiEEE,A peie,eeieeie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Lhches banditsl,Lhches,a.-,Les brunches,lches,ÇA,E-,lchetel,lche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,atlend,cetle,etles,etle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,huche,morichee,Couchez,penchee,ouchee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,sorl,fl,New-Yorl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Loups-Hurons,Huron,Fumerons-,Bisons-Hurons,Hurons,everrons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,baon,z-L.,.-L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,"de
Couleuvre",Couleuvre,La Couleuvre demasqua,la Couleuvre,La Couleuvre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,ENfIN0Y,Ben,1'Il-de-benf,1'Il-de-Buf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,"E

E","E

e


3L
x","E


E",5E E,"JE

E","E
 

E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,R,tounure,Boune,touner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Providenee,tentee,charpentee,Or,.'ardente,jou pecedent,Accidente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,vousl,J,vOuS.,gare a vousl,vousf,Avouea,voUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,drolel,affoles,desole,Creole,dole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,anxiete,bruitset,repete,tete,eusset,sete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,".L

I
z
2.-","E
E

R

I
Z",ca,"E

R

I
Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Renard-Bleu,lRenard-Bleu,Renard-Elle,Le Renard-Bleu,Benardo,Renard-Blou,Renard-Le,Renard-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Tonne,"...
- Pas de mots malsonnantsl",prisonnie,- Abandonne-les,mnaisonnette,seuil de la maisonnette,Sonne,pexsonne annoncee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,plius,aceomplir,plir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,"zEEEEE
E",zEEEEE,gEEEE,"L.S.EEECih1
---",E:.LEEEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,piece eclairee,declarer,Wnldecl,eclai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,ILes,lil,sterile,GLFK0Y,Ailez,Lile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,coinpartimentsau,"heIN
aIME

t",vraimentl,Vraiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,il:.:s-,comtne,comle,compugnie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,"I
I
II
II
 
III
I
II","II
I
1Y","II
I
IMA","El

 
I



h E

I
I
I
I1
II
II1

JE

REE

I
MI

I
I



ET

1
I
A

IL

Il


IL","I
I
III
IL","II
I
E

E",IIy,"II
I
I","II
I
II
I","IIM
I
II","II
I
IL","I
I","II
I
I
I
III
F","mer

II
I
1
I","II
I
A","I
I
II
2I
t

'","II
I
I.

II

I
II
I","A
I
II
II
II1
I
N","II
I
Il//IL","I
I
II","II
I
vI","II
I
A.

I","II
I
II",,,,,,,,,,,,,,,,,,,
287,Iaiblesse,oppessee,blessee,oblesse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,écoutez,Ajoutez,Acceptez,hâtez,Eeoutez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Fort bienl,- Tres bienl,Bien-Aime,I2,convenul A bienlot,croyez-le bien,Combien,lBien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,ain,souterain,Soudain,mnains,souple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Royal-Marine,Même-aux-,Marigots,Aise-aux-Marigots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,capiltaine Palamede,cpitaine,capitaihe,chitaignie,capitaiue,toldos renfemenl we tentaine de gueiers,capitaineJames Maclay,oapitaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,tfaconla,la lecon,L'inconnu'arrêta,Gascon,Wacondah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,"I
E
I

C

R
I
I

 
-
ET
ELLE",i,"P
E
I
T

I


tu
E","E
I

amI1","E
I","I
E
L","I
E
t","XI
E
I
 C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,A%lIItl,LIY,Soitl,JE,soitl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,"fleuve
Saint-Laurent",saint-,Le Saint-Laurent,tfleuve Saint-Laurent,Saint-lLauent,Sainte,Saint-Laurent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,PaPa,- Partons,depart,aparte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,querrezla,deierre,A terre,Erreu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,E',"I


E","E
II

E","II

E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Opossum,reposet,opposea,epouvnte,epos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,exigeez,Maige,r2,assiger,inllige,verlige,ige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,porte patr,fIort,Iort,Iortement,Iorte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Algonquins,Inalgie,F1N,Lhidalgo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,plaes,bagaes,plaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,- Ajoutant,--t--,Va-t'en,ajouta-t-il,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,- Ariverons,Vive,ariver,Arive,RIV1,copaguie de rigny m'eel arive,arive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,L---E---L,a-.-,"t-.----:sxereeEesaa-e
-
--s-.-`.-
'
l","M
 
I","t:.---
L",---L-,r-.----L-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,ontfond6,frontiere,Ilibustier,"opinion2
- Pas entierement",cimetieres,Iontiere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,deserl,lourdeset,desert na cela,deserte,desert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
