cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27
205,Simphireol,mesna direcgao,direccao,Iytire,vires fazt,Pirecen,Ire,luzir,bire,Rire,corato d mnlher odquire cerua oirdem,Yorkshire,Pires,Girrett,ireen,,,,,,,,,,,,,
206,miin,iini,iiniiie,Iini 'iin uie,"es
io iiineisi",iiiniiua,"gg
nGii iiin  iire",Iingindo,Itiiinnn,Laiin,"g
in fii",iiin,"prees
iini sniien",iinal,iina,,,,,,,,,,,,,
207,Iosses,Iossel,eseossez,"elle nio
Iosse ingle","Iossel
-- Nio",,,,,,,,,,,,,,,,,,,,,,,
208,ais Iagrimas,Iagrimas,prima-donna,s Iagrimas,"Ests
lagrimas estavain",lagrimas,,,,,,,,,,,,,,,,,,,,,,
209,cn en alterad .-Luz,anteriormentte,"Ieu-
htersleben",terino,teri,teu cracter,Terrivol,Terais,niysterio,Teri,,,,,,,,,,,,,,,,,,
210,pos g,posla,Aposlo,Raposo,Aposlemosl,doulor Raposo,,,,,,,,,,,,,,,,,,,,,,
211,Yoj,Iyo,loj,,,,,,,,,,,,,,,,,,,,,,,,,
212,oniindo tamhem,Tamhem,tamhem,,,,,,,,,,,,,,,,,,,,,,,,,
213,raziia,Iazia,Iazi,,,,,,,,,,,,,,,,,,,,,,,,,
214,ez,L5,Iez,INGIEZ,Ieza,Fezr,Irieza,,,,,,,,,,,,,,,,,,,,,
215,nara,Mlularam,mescarads,iara,"pussara
lli",Iar,Iara,,,,,,,,,,,,,,,,,,,,,
216,1I,Ah1I,,,,,,,,,,,,,,,,,,,,,,,,,,
217,"pas-
saa",as-,Mas-,,,,,,,,,,,,,,,,,,,,,,,,,
218,acanhado,envergohado,acanh,Acahada,,,,,,,,,,,,,,,,,,,,,,,,
219,Cdid,DI IR,di,di d tl syse,"di
recao indicnda",Di-me,o.  verdide,,,,,,,,,,,,,,,,,,,,,
220,Concordo,Recordo-me,Ponco,,,,,,,,,,,,,,,,,,,,,,,,,
221,desviei,Desvie,Sv,,,,,,,,,,,,,,,,,,,,,,,,,
222,coitadiuh,Coitadol,Coitadal,Coitado,Coitadol Fez-me,,,,,,,,,,,,,,,,,,,,,,,
223,beatifica idiotia,justificacao,sacrificr,comensacao,ficaa,justilicaao,,,,,,,,,,,,,,,,,,,,,,
224,esuecer,appreheisao,Ivorecer,apprecer,preceu,appetecer,,,,,,,,,,,,,,,,,,,,,,
225,Manool,Manol,Muanool,,,,,,,,,,,,,,,,,,,,,,,,,
226,Brainsl,rains,"se-
guid Mr. lrains",instrucgo,,,,,,,,,,,,,,,,,,,,,,,,
227,quaes,virginaes,maes,chaes,taes,caes,Taes,aes,"aes
ruaS",cereaes,Elaes-,ereaes,,,,,,,,,,,,,,,,
228,asrescendo,Ascende,cenloe,"ce
cers",cen,censolse,Ocenpada,,,,,,,,,,,,,,,,,,,,,
229,Etou,tou:-,e:-,,,,,,,,,,,,,,,,,,,,,,,,,
230,seuia,Aguia,aguia,Aguia d'Ouro,,,,,,,,,,,,,,,,,,,,,,,,
231,IIumhi,UMHA,Iu-,IUm,Fum,,,,,,,,,,,,,,,,,,,,,,,
232,hm,tiihm,sej da tiiha,,,,,,,,,,,,,,,,,,,,,,,,,
233,qte dte,temp0,qttcm,qte ji,qte,qtte,esqtecid,qtlc,,,,,,,,,,,,,,,,,,,,
234,corresondeneia,"saccorro d he-
gonia",Correu,corror,CORR,otccorre,,,,,,,,,,,,,,,,,,,,,,
235,Jehny,hl ehl eh....,ehsejo,Ehl,Eh,feeha,,,,,,,,,,,,,,,,,,,,,,
236,Qan,anbs,ambs,tanben,,,,,,,,,,,,,,,,,,,,,,,,
237,seuhe,lehecea,heheu,hehel,lIur-he,,,,,,,,,,,,,,,,,,,,,,,
238,iee,Fiel-,cpie,Ie,Ltrieg,Iem,qie niee,sieu,"Ils
mnuio qie",noie,ie,pie d,psiqie,,,,,,,,,,,,,,,
239,lorge IY,Iorgas,Gargahntua,forga,Iorga,porgao,esforga,co Iorga,,,,,,,,,,,,,,,,,,,,
240,Sio,disio,"pa proisio'et ey ygege;g
i nspdss oin inteligencia de",Isio,visila,,,,,,,,,,,,,,,,,,,,,,,
241,Iallou,Iallo,alls,Iiallas,Iallar,Iallava,Ialla,Ialle,ialleneia,iallaria assini colle,Iallira,Falla-me,fallaam,,,,,,,,,,,,,,,
242,e9,E91,,,,,,,,,,,,,,,,,,,,,,,,,,
243,mentisseIn0s,senlimento,"senti-
menio",sentimen,"re
sents","formul dos
tres grandes sentimentos",restaheleeiment,iment0,ome de cortos sentimcntos,,,,,,,,,,,,,,,,,,,
244,exaniinando,lebendo,uando,Iundo,Ficando,"abando-
nar",Iestejando,pe mando-me,,,,,,,,,,,,,,,,,,,,
245,Imais,rmais,Demais,"maise
rmpto",,,,,,,,,,,,,,,,,,,,,,,,
246,d Inglaterral,Inglaterra,lateraes,Inlterr,noya terra,Inglalerra,Inlaterra,,,,,,,,,,,,,,,,,,,,,
247,Quasi,"ci
masis",poruas his,quasi tao desgradvel,uasi,Uuas,asin,assiduas,,,,,,,,,,,,,,,,,,,,
248,Quetino,anoel OQuentino,Quentino.-,Quentiuno,Quentino;t,Quentlino,Quentino...,Qnentino,Qtentino,Manol Quentino,Quentinol,"Manae
Quentino",Quentino,Entin,Quenltino,Quentino.--upel,Quentine,Quentina,intino,Quentinod,Qucntino,Qentino,,,,,,
249,Poetien,Ien Ieusl liria,en,IENY,nienas,"pud.l
ii-i ienn",Iendo,Ienle,DOIWIEN0,ien,Ienos,Iens,tnien,,,,,,,,,,,,,,,
250,vigilia,vigilias ovas,vigilia da vespera,vigilncia,lligim,,,,,,,,,,,,,,,,,,,,,,,
251,us us,mus,py us,aum magusto,Qusi,cus,Susn,quse,ngiuss,us,enouse,Maus,Meus,tusve,alusco,Aous,,,,,,,,,,,,
252,przer,Iazendo,Iazer,iazer,Iazem,Iazer-Ih,,,,,,,,,,,,,,,,,,,,,,
253,Zesse,hzedume,Fazes,"Fa-
zes-me",Zes,"lizessen mis
onnoio",ze s9,zes da,,,,,,,,,,,,,,,,,,,,
254,"dis
ge",sympathiso,ce eg ise,nistcncis,sofis,isue,Iso,Is,Istnc,"r nals
poeurdo nelos capitualisis",ulpis2,Nudn mis,Itis,Clis,,,,,,,,,,,,,,
255,ms g,Nms,ms,algms,,,,,,,,,,,,,,,,,,,,,,,,
256,Mgora,Ioram janlalr,Chora,torado,Iora,Yoraogo,inplorar,mniorava,Iorea,,,,,,,,,,,,,,,,,,,
257,Imagine,imaginatr,Iagine-sc,,,,,,,,,,,,,,,,,,,,,,,,,
258,tssr,Mts,ctsa,cts,ctltsz,,,,,,,,,,,,,,,,,,,,,,,
259,pedra da alameda qu,leiada con,tos da ca,hAs tres da tarde,placi da camara,"mui-
tos dos","gy ig-
exstremidde da ru",,,,,,,,,,,,,,,,,,,,,
260,oueo in lupula,"Repou-
s0",Poueo,poueo,,,,,,,,,,,,,,,,,,,,,,,,
261,tcns,Poucns,cns,pouc0,toucndor,,,,,,,,,,,,,,,,,,,,,,,
262,Mr,Mr. Richrd,Mr.,,,,,,,,,,,,,,,,,,,,,,,,,
263,Peo0 mis un cousa,ousassen,couo,couss,couplis,tcousts,uas cousaess,,,,,,,,,,,,,,,,,,,,,
264,Butterfly,"curatter de
cada n",Butterfl,Bu,,,,,,,,,,,,,,,,,,,,,,,,
265,honem,hon fada so,Nem,,,,,,,,,,,,,,,,,,,,,,,,,
266,ialle,posso fallar,Salles,fallaya,falle rerade,Falle-he,Iifal,"Allen-
nha",Fallei,falle,valle,Allyon,,,,,,,,,,,,,,,,
267,duid,cdu,duidn,guidns,vidn,,,,,,,,,,,,,,,,,,,,,,,
268,Ihor,Senlor,Senhorl-exelamou,"bc da lita senhora soubenos
olonte dte",Senhor,Yenho,Senhorl,senhorl,penhore,,,,,,,,,,,,,,,,,,,
269,mou Charles,Clarles,harles,Carles,coraeio de Charles,Charles.--,Charlesl,,,,,,,,,,,,,,,,,,,,,
270,Luizn,Luiza,lLuiz,alui,,,,,,,,,,,,,,,,,,,,,,,,
271,Ionge,Longe,ge,"Ge:,2",mis longe,,,,,,,,,,,,,,,,,,,,,,,
272,bics,cste,cs,cssa,phsics,zcs,,,,,,,,,,,,,,,,,,,,,,
273,somhra da ramada,homhra,homhro,lemhrasse,,,,,,,,,,,,,,,,,,,,,,,,
274,Ilichard,lichard,Iechar,sardiniha,ichiard,"Carlos?-erguntou Mr.
Richard",Ktichard-e,ichard,ltichard,Erhard,Mr. Richarl Whites-,chao,,,,,,,,,,,,,,,,
275,Volga,"vo
Ga",vordir snt,Nvo,voes,equivoco,navo,vo,Advogar,,,,,,,,,,,,,,,,,,,
276,accusou,discuss6es,sc,Escute,Agort escullo0,Escusdo,Escuso,,,,,,,,,,,,,,,,,,,,,
277,Aquelle,"sa terceira releicao d'aquella na-
nha","N'aquella
ctrte",Naquelle,n'aquelle,iquelle,"serit
daquella noite",Aquella,"enlaio naquell idade c
n'aquella miseria iota",aquelle,Aquell,quelle,bairro de Cedofeita aquelle,"cirte ua
d'aquells","andar unido
aquella",siguilicagio d aquelle sorriso,aquella noile,,,,,,,,,,,
278,ternee,Stere,Myste-,Sterne,chester,,,,,,,,,,,,,,,,,,,,,,,
279,Mrago,cerrago,Mragos,"pe-
dagos",,,,,,,,,,,,,,,,,,,,,,,,
280,Rosolveu,sos cnivas,Pedroso,IHla-os,Passos,sos,Yersos,Iogoso,,,,,,,,,,,,,,,,,,,,
281,britannic,Mbritannicamente,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Ioies-,Iies,Ies,iesds,,,,,,,,,,,,,,,,,,,,,,,,
283,Dizia,Izia,"di
zia",izinb,"emn ci tl-
lizi",,,,,,,,,,,,,,,,,,,,,,,
284,cubega,cabega,tabe,cabeg,Eg,cabegt,,,,,,,,,,,,,,,,,,,,,,
285,sim-respondeu Curlos,corespondeate ae,Socegue --respondeu Cnrlaos,rTesondeu Carlos,Nao-respondeu Carlos,,,,,,,,,,,,,,,,,,,,,,,
286,Tenho,Jenhy,Venham,Tenha,"pi
nhal",tenp0,,,,,,,,,,,,,,,,,,,,,,
287,ITranuillise-se,Bata-,a-,Trata-se,AdIira-sel,C0R0A-SE,,,,,,,,,,,,,,,,,,,,,,
288,"es
tas palavras",lavras linaes,mnos matinaes,mis lings...,Vr,,,,,,,,,,,,,,,,,,,,,,,
289,Iilha,lilha fallira,Sevilha,Ilha,tilha,lilha,similhanga,iilha,"Es
tou muilo velha","similhanga
 aruha",,,,,,,,,,,,,,,,,,
290,taes casas esecuras,tcasa,nossa casa,casa.-,tcasn,,,,,,,,,,,,,,,,,,,,,,,
291,2E,E2EE,e2,,,,,,,,,,,,,,,,,,,,,,,,,
292,mdo,Nuda,Cnludo,Comtudo,Dto-e vestudo sohro,osva ngdo,Iudo,udo,aiccusudo,tud,,,,,,,,,,,,,,,,,,
293,indulgencin,ess a prin,principalmenle brazileiro,Princi,Principiauva,"sg
cincin",corredor principion,principie,prin,Principie,,,,,,,,,,,,,,,,,,
294,oircumstancia,puc distancia,Iranceza,circulr,ancir,"ancii
daes",roancisla,inlancia,,,,,,,,,,,,,,,,,,,,
295,Aheilard,Lara-A,raarig,d-,cno popular,regularidde,lari,roar  salao,palpilar,baslari,,,,,,,,,,,,,,,,,,
296,ahsinthio,Dahi,Dhi,Ahl,ahi,Whi,Ahi,attrahir,ditrahi,Ah,AhI,,,,,,,,,,,,,,,,,
297,India,Incendiar,prelendia,ceompendia,Accendia,,,,,,,,,,,,,,,,,,,,,,,
298,Yal,Troya,Royal,Yac,,,,,,,,,,,,,,,,,,,,,,,,
299,uiis,Iiscss,Iisboa,is-iise,"sg
zigios iniis","i.6iisie;,eegg,-",Iis,s0rITIis0,,,,,,,,,,,,,,,,,,,,
300,"XXYVII

Cowo s CA","eegnr s
enii co",i iGcny,i  ii caid,"I

360","siye
inii ii- uilr",,,,,,,,,,,,,,,,,,,,,,
301,Ieiro,evoeiros,Ieiros,Mros,Iiros,,,,,,,,,,,,,,,,,,,,,,,
302,gloho,Ohl,LL.oH,Oh,Ohe,,,,,,,,,,,,,,,,,,,,,,,
303,Onte,Ironte,Irontes,Traz-os-Montes,Ironte d'ella,,,,,,,,,,,,,,,,,,,,,,,
304,lilha de hlanoel Quen-,Quenlino,Quenlinol Ento,Iilh de Manoel Quenlino,Manoel Quenlino,Mauoel Quenlino,Manoel Quentiuo,,,,,,,,,,,,,,,,,,,,,
305,alllicta,pallido,Lidou,gralidio,"fazendse
pallido --",,,,,,,,,,,,,,,,,,,,,,,
306,ijornal d,linal de contas,"n'csts cousas de corge
damos i opiniio alheial Ands",linal do divertimento,fasz co,"Ial de me-
lhor voreabulo",linal,"theatr gst
elle contos de reis",Iinal de conts,,,,,,,,,,,,,,,,,,,
307,romer,Imetts,compromette,Promettia,prometta,Promnetto-lho,Prometterei,promess,Promtos,,,,,,,,,,,,,,,,,,,
308,norta d,Comportas,Portao,l porta,portaes,"uue iineueso da e
puinha do portal
i",immortaes,,,,,,,,,,,,,,,,,,,,,
309,i.iioca diia ne posatsstr crisds,iia posodin,posatsstr crisds,,,,,,,,,,,,,,,,,,,,,,,,,
310,emquanlo,emquane ue,Emquinto,,,,,,,,,,,,,,,,,,,,,,,,,
311,Tul,oulra,pullulra,oceulls,,,,,,,,,,,,,,,,,,,,,,,,
312,II1-Ai,I1,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Jennv,lJenny-,sor Jenny,lenny,Jenny-,Jeny,Jen-,Jvenny,Jenny,hre Jlennyl Es,Jlenny,Jennys,Jenuy,Jennyl,Jenn,,,,,,,,,,,,,
314,Cianos,tunos,Manosl,loi noste,Falt-nos,Yanos,"depoisl
Lfnanos",,,,,,,,,,,,,,,,,,,,,
315,Ponti-,"st
aponta-noi",ontio,Ponti,ponlo,u posponto,Ponsard,,,,,,,,,,,,,,,,,,,,,
316,joven padre,ilsanens,laens,ensurava,vensinar,volven,Jenss,chavena,Irgens,Vens,solvagens,OIIUENS,Densl,"j
maven",,,,,,,,,,,,,,
317,hobro,suMbjugado,Iatigada,obrigaes,Obrigado,,,,,,,,,,,,,,,,,,,,,,,
318,silenio,silenciosa,silencioio,,,,,,,,,,,,,,,,,,,,,,,,,
319,Gs,"ov gs-
c",,,,,,,,,,,,,,,,,,,,,,,,,,
320,UH,Suhiria,acuhir,suhve,suhir,,,,,,,,,,,,,,,,,,,,,,,
321,Decnnsa,Ns,Nn,Nns,,,,,,,,,,,,,,,,,,,,,,,,
322,mIais,MIais,cuuho ais,Iais,Iaisnin-,Sais,Gansiais,Gaisgg,Xivier de MIaiswre,,,,,,,,,,,,,,,,,,,
323,tebaraen ias porla do seoa,porlnt0,porlta,Porlo,,,,,,,,,,,,,,,,,,,,,,,,
324,alumnia,calumnia,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Ouea,ue?-,ue uao,uue,ue yron,loueuru,ue,duetto,Fiue,luet,uliuea de tque,uel,,,,,,,,,,,,,,,,
326,rn,meemno oirn,miovimento da irna,Irnass,irnao,"Irnass
Intes",irna,,,,,,,,,,,,,,,,,,,,,
327,commovido,movia,movimenlo,ovi,,,,,,,,,,,,,,,,,,,,,,,,
328,mscaras,rasuss,Rasgue-a,alaras,lettras,Ilscaras,Raras,Phrase,Passarami,Prara,Yras,"Emhnra das amnphoras
Vasadu",leuras,,,,,,,,,,,,,,,
329,traa,utri,Traida,Outra,outrcm,,,,,,,,,,,,,,,,,,,,,,,
330,Aviutes,gute,Trutenlo,ute,cutel,Fiz-te,qute,,,,,,,,,,,,,,,,,,,,,
331,WV2,CnrIos,Carios-,Varios,curiosiade,Furioso,Crios,ordinirio,Irios,irioi,suu irio,"enpre
zarios",,,,,,,,,,,,,,,,
332,i-o ii  esseir,Vo Ii,io iigi,io  iy.e,,,,,,,,,,,,,,,,,,,,,,,,
333,nio traiir,nio tremuila,mao tremula  ehna,,,,,,,,,,,,,,,,,,,,,,,,,
334,assumptos,Assumpto,ssumpos,"re-
sumpcio",,,,,,,,,,,,,,,,,,,,,,,,
335,desapar,Park Benjain,rpariga,pari,"occpaRo
barhara",Paris,"es
caparan",parega,Par,Pars,,,,,,,,,,,,,,,,,,
336,Ianel,mlanh,laneand,Manel,mlal,Mlanel,morr lane,Mannel,,,,,,,,,,,,,,,,,,,,
337,esola,sohresir,Resolsi,resoluc6es,resolverit,,,,,,,,,,,,,,,,,,,,,,,
338,"bane
mve",veigas,oeeveygg,dover,Curvei,tnlvez,talvei,suve,sveda,Ve,Tove,,,,,,,,,,,,,,,,,
339,verao,misericordia,cseravt,commiserao,Commigo,,,,,,,,,,,,,,,,,,,,,,,
340,Alguas sas,aguas limpidas,julguva,algiug,Alguas,,,,,,,,,,,,,,,,,,,,,,,
341,profanacto,jeecto,nomeacto,Iacto,extincto,,,,,,,,,,,,,,,,,,,,,,,
342,doenle1,donzella ingenul,ingenle,repenle,ingenoe,,,,,,,,,,,,,,,,,,,,,,,
343,Alegrar,Alegr-te,hrinca alegre,Alegre,segred,,,,,,,,,,,,,,,,,,,,,,,
344,hos,"Lishos
sio ms",Lishos,,,,,,,,,,,,,,,,,,,,,,,,,
345,Exquisita,Melitava,capitaes,lucta for ineitavel,habitaco,Celoleita,Eitao,agitago,taboa,It0,Rejeitad,ITA,Ociositadel,leitaia,,,,,,,,,,,,,,
346,Ios.-,"secco dos
annuncios",Iosle,Iosliz,mis pechiosos,Iosrar,Ioste,Iossc,Iabios,Yos,Ios,pposicio,"Cnn
Ios","aguas dos
rios caudalosos",,,,,,,,,,,,,,
347,Porqnute,Porque,Porquo,Porqe,Porqut,porqu1e,,,,,,,,,,,,,,,,,,,,,,
348,"re-
lacio","veg
tacio",animago,animacio,animnacaio,,,,,,,,,,,,,,,,,,,,,,,
349,Protegeste,estendend0,tenacidnde,attender,Pretendeu,acrestentando,Estende,,,,,,,,,,,,,,,,,,,,,
350,Iormulou,Iormosa,Iormnulava,oor,iormulr proieets,Iormas,Iormava,Iorm,Ior;as,Iormr,Iormular,,,,,,,,,,,,,,,,,
351,Ioi injuslo comligo,dignidde,B,Digo,Ig,dige,Codigo,Diga,,,,,,,,,,,,,,,,,,,,
352,comesinhos,Carlinhos,Cnrlinhos,Mlinho,oblinhn,Crlinhos,,,,,,,,,,,,,,,,,,,,,,
353,Slreet,Eet,objeet,eetee,,,,,,,,,,,,,,,,,,,,,,,,
354,"sss
36",Padre-nosso,nesso,lsso,olss,Lso,,,,,,,,,,,,,,,,,,,,,,
355,pergutllas,perguntas2,Iuizal-pergunou-lhe,Perguntara,pergunts,pergunlou,,,,,,,,,,,,,,,,,,,,,,
356,tographica,philosophicas,chicole,hica,,,,,,,,,,,,,,,,,,,,,,,,
357,Londes,Londcs,"lLondresl
Crlos conhuceu",Londres,Andre,londres,l.ondres,Londresl,,,,,,,,,,,,,,,,,,,,
358,Ai,Raspail,haile,Ail,gail,Ai.l,,,,,,,,,,,,,,,,,,,,,,
359,a2 yez,a2,lyez,,,,,,,,,,,,,,,,,,,,,,,,,
360,D0-lhe,Peco-lhes,Deem-lhe,Msseguro-lhe,Acho-lhe,Ienho-lhe,Peo-lhes,Peeo-lhe,Peo-he,,,,,,,,,,,,,,,,,,,
361,s6,necessiddte,Procedia-se,process6,,,,,,,,,,,,,,,,,,,,,,,,
362,ue  avaler,plalei,alen  po,caleg,Suale,Kale-,linalenle,calel,dale,ale,sinceridale,uale,Sales,vale,,,,,,,,,,,,,,
363,E0,ce,ce0,G.Gce,,,,,,,,,,,,,,,,,,,,,,,,
364,gA,faga-6,faga,Ag,,,,,,,,,,,,,,,,,,,,,,,,
365,leqio,Surio,Ioo,Iogem,io,acrolithio,nhn io,Ioi,Io,,,,,,,,,,,,,,,,,,,
366,"hGGi,,;,::E",eIgg.g,seeggg,G'GG,GGE.e,Reggar,sih -s gg,",gEgg",iee;gjggg,gg,Ayggg,"g2
GGGGnii.:g
ii i","ggggggg
oiiin",Aggge,,,,,,,,,,,,,,
367,confianga,"cn
fiangea",fianga,conlianga,lianga,,,,,,,,,,,,,,,,,,,,,,,
368,ginagao,corag6es,coragio,sesagao,corago,XXII-- Eucagao,coragao,cnragao,,,,,,,,,,,,,,,,,,,,
369,"Ceilia
-- E",Ceilia,Ceeilii,eeilia,Ceeili,Ceeilia,Ceeila,Ceili,,,,,,,,,,,,,,,,,,,,
370,Adivinho-0,adivinhads,Adivi-,Adivinha,,,,,,,,,,,,,,,,,,,,,,,,
371,bretiics,Abre,ILombre-me,fobre,Bret-,bre,Pobre,Pusa.-Molibre,,,,,,,,,,,,,,,,,,,,
372,Ouyi,yir,"Fy,9e",ouyir,,,,,,,,,,,,,,,,,,,,,,,,
373,Giiie,GiG,GGii,"ie
Gii'si s",GGiGiiieesgEg,H8,Gii,iGii  ieo,,,,,,,,,,,,,,,,,,,,
374,Ihcidae,Mae,mae,Yae,"g sepaera
ind",Wae,aeaba,Dhae,hae,unicn laeo,Ae,naem,,,,,,,,,,,,,,,,
375,Qunes,qunl,ima das qunes,Qunnto,Qunlino,qun,,,,,,,,,,,,,,,,,,,,,,
376,"cas-
tanho esteuro","instn.-
tes",kEste,estcads,digestes,West of England,estado,st,Ests,rpauest,Esteve,estad6,Manifestou-sc,Estai romantico,Estao,Est,Estais,ue est,"est dgtese
fann",Est livre exspansao,,,,,,,,
377,Iilho do snr,lilho,guarto do filho,bilho,Iilho,Iilhs,iilho,Iilh,,,,,,,,,,,,,,,,,,,,
378,limpide,Emlim,mlim,,,,,,,,,,,,,,,,,,,,,,,,,
379,satisfazeres,pesativa,satisfaeo,,,,,,,,,,,,,,,,,,,,,,,,,
380,Sehasopol,eoucvelia,Sebastopol,Seliastopol,,,,,,,,,,,,,,,,,,,,,,,,
381,Ihula,Iihe,Ihe,Ihenos,,,,,,,,,,,,,,,,,,,,,,,,
382,"sa-
bia",pdia,Gia,Sabia-o,llvia,Iato,Ronpia,Podia,Ian-,Iau,Ia,IIaveiam,Ria,iaia,copia,liavia recelido,,,,,,,,,,,,
383,"te-
nho direito",Ieito,ieito plemes,efieito,perfeito modelo d'ess bella mohilia ultin,Eitou,Eito,"torminara
leitur",pcito,im documeito,,,,,,,,,,,,,,,,,,
384,"Gi,,g","c yg,,g2","yg,,g2",,,,,,,,,,,,,,,,,,,,,,,,,
385,Ctdo,m(tdo,utdo,,,,,,,,,,,,,,,,,,,,,,,,,
386,Colla,lla,coma olla,olla,olliou pr,dolla,M.LLA,,,,,,,,,,,,,,,,,,,,,
387,America do Norte,Cames,Africa,America,,,,,,,,,,,,,,,,,,,,,,,,
388,un vulents,nentos,Entuo,"pro-
xio cnsamento",Agua-hent,cad momcnto,naturl mentor,pensanlento,Nto,Entou,"eg
nto","ul
tcontentanento",apents,Ento,Sinto,"phrenesi
porventur",augentot,raga ento,nent,momentoes,,,,,,,,
389,Cnlos,Cnrlos-raparign,esigira-lho Cnrlos,"Oral
Cnrlos",Cnrlaos,Ccnrlos,"Avia-tol
Cnrlos",Cnrlos.-,Cnrls,"partide de
Cnrlos",Cnrlos,,,,,,,,,,,,,,,,,
390,MIs d'onde viri,Aonde,donde eu venhol,N'oste nonto,d'onde noi,,,,,,,,,,,,,,,,,,,,,,,
391,Manael Qunti-,Mnael,Manael,,,,,,,,,,,,,,,,,,,,,,,,,
392,attoen0es,N0,atten0es,atteneao,attencao,,,,,,,,,,,,,,,,,,,,,,,
393,Ic,Iclo,feic0es,feic6es,eic,,,,,,,,,,,,,,,,,,,,,,,
394,aindn,ndn,Aindu,ainde,,,,,,,,,,,,,,,,,,,,,,,,
395,therolyic,perola,generosamenle,renerlorio,generol,genertl,,,,,,,,,,,,,,,,,,,,,,
396,Ruy,Forumoo,ru,,,,,,,,,,,,,,,,,,,,,,,,,
397,"Gnieee,,gg","eee es-
rncin  aidaeis",uis vees coyidee,"lss eeee
igi",soeeg,ro ee,EE,Teem-me,Nocemeee,ee,iio aeee,iei importnia preeelcn,Deieeeee,hcdeeer,gelyeeee,Pareee,eeegg,Wocemeee,a:::::::E.EEE,eeee,nereee,obtee,aseveeee,,,,,
398,Ce mis grrids,Sorr do Pilar,"Dos Theriakisl
Horror",sorrisos,sorri,sorrirat,,,,,,,,,,,,,,,,,,,,,,
399,Pois,poicn6,toIh,po,Ilopois,Apoianl,Poi,Expoirou,potco,,,,,,,,,,,,,,,,,,,
400,perig,perlou-me,"pe
deri",perlil,peri,sompre n listoria d peri ds,,,,,,,,,,,,,,,,,,,,,,
401,calega.- Fortunalo,Jse Fortunalo,Jose Fortunalo,Jose Fortunaet,"Jose Fon-
tunato",,,,,,,,,,,,,,,,,,,,,,,
402,"ji ti-
nh",PazCTI-IIl0,ti-,Eti,"ti-
rou",,,,,,,,,,,,,,,,,,,,,,,
403,L- Eutaa i,sal-o,Cl-te,sulfocal-0,Wal-,"ol-
tro",L-,l-,,,,,,,,,,,,,,,,,,,,
404,Singular,lingut,mar cingi,Cingue,,,,,,,,,,,,,,,,,,,,,,,,
405,necudia,illudia,"ap
plaudiu",Claudiol,applaudia,,,,,,,,,,,,,,,,,,,,,,,
406,Sihamos,viha,Vamos,,,,,,,,,,,,,,,,,,,,,,,,,
407,governo7,gno,Saturno,"in-
Yerno",nlnor iusin,Giovrno,Forno,norno,,,,,,,,,,,,,,,,,,,,
408,nermitte,permitte,,,,,,,,,,,,,,,,,,,,,,,,,,
409,solidao do gahinete,insinuacao do lilho,vitaes do corpo corram livremenle,tos do coracao,u saco de ar-,s6 do rapaz.-bDe,I0s segred0s do coracao,"estado do
z::t",ginaco de uni rapz,csa do harao de Tavares,estdo do discipulo,mesao do caeie,deseer do carro,"estomagot
do coracao sao anlagouistas","mercdo dt
peixe",debaiso do harrete turco,corago do snr,estado do coracao de Carlos,corpo de menor vul,,,,,,,,,
410,dillerenga,indiferenga,lugao,licenga,doenga,ovenga,cangao,acgao,engao,Enganas-te,indilorenga,,,,,,,,,,,,,,,,,
411,Imaos,hraos,mao,nntemao,maos da irma,maos,,,,,,,,,,,,,,,,,,,,,,
412,"lio con-
ductor",mon-,con isl,Conagral-o-hao,conus,Jon-,cono,con soo,con-,Consultei,conear,,,,,,,,,,,,,,,,,
413,Nr,Lsn,snlt,asnr,Snr,snr,,,,,,,,,,,,,,,,,,,,,,
414,Bxchange,lang4I,jd,crcanga,Franga,lembranga,esperangas,tranga,ranga,alcanga,,,,,,,,,,,,,,,,,,
415,Gran-lretanh,hretanha,ganhra,Gran-IBrstanha,Gran-hretanha,,,,,,,,,,,,,,,,,,,,,,,
416,Ceclia,objeclo,Cecli,,,,,,,,,,,,,,,,,,,,,,,,,
417,Pfl,desafloro,lLord Mayor,Ilores,Ihores,flores,,,,,,,,,,,,,,,,,,,,,,
418,paisaio,salis,Sao,suavisar,Irrorisado,"oeisa ro
i:e2",Tamisa,Isaae,Deisa,Isa,Civilisa-te,fisava,Deisa-me,clsa,,,,,,,,,,,,,,
419,ete hranco.-,Etes,etea,etec,gabinete de,berum sete,ete,iete,,,,,,,,,,,,,,,,,,,,
420,transformacn,esforo,transformaa,,,,,,,,,,,,,,,,,,,,,,,,,
421,Entan,Sultao,Harental,mentaeao,"tentavtm repro-
uzir",Nvo lcstanent,erescentau:-,Entaol,Entaio,Entao,,,,,,,,,,,,,,,,,,
422,Curlas,Ilaja,Vomilam,Ilavia,Ionilas,Inlas,tarelas,irrelectilas,Mlas,Ilas,Uusmeralas,,,,,,,,,,,,,,,,,
